home,grades,value,total
Riket,low,16129,101862
Riket,high,18105,101862
Blekinge län,low,362,1355
Blekinge län,high,69,1355
Dalarnas län,low,517,1919
Dalarnas län,high,115,1919
Gotlands län,low,102,508
Gotlands län,high,36,508
Gävleborgs län,low,428,1765
Gävleborgs län,high,99,1765
Hallands län,low,470,2380
Hallands län,high,154,2380
Jämtlands län,low,234,959
Jämtlands län,high,50,959
Jönköpings län,low,516,2977
Jönköpings län,high,258,2977
Kalmar län,low,531,2458
Kalmar län,high,161,2458
Kronobergs län,low,647,3096
Kronobergs län,high,227,3096
Norrbottens län,low,556,2915
Norrbottens län,high,274,2915
Skåne län,low,2305,15768
Skåne län,high,3320,15768
Stockholms län,low,2453,18064
Stockholms län,high,4018,18064
Södermanlands län,low,243,1181
Södermanlands län,high,67,1181
Uppsala län,low,857,8053
Uppsala län,high,2282,8053
Värmlands län,low,712,3227
Värmlands län,high,242,3227
Västerbottens län,low,845,5415
Västerbottens län,high,815,5415
Västernorrlands län,low,387,1505
Västernorrlands län,high,124,1505
Västmanlands län,low,420,1859
Västmanlands län,high,124,1859
Västra Götalands län,low,2163,15939
Västra Götalands län,high,3587,15939
Örebro län,low,615,3463
Örebro län,high,308,3463
Östergötlands län,low,766,7056
Östergötlands län,high,1775,7056
